QUEST_20150317_000001	Por favor selecciona al usuario que necesita una actualización de misión.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20180320_008055	¡Podría haber algo escondido allí!	세노베스 제단에 뭔가가 숨겨져 있을지도 모르겠군요!				저항군 부관 르온	
QUEST_20180320_008056	¡Esta es la otra mitad del disco!{nl}Pensar que algo como esto estaba escondido en el altar...{nl}	원판의 나머지 반쪽을 획득했군요!{nl}세노베스 제단에 이런 장치들이 마련돼 있을줄은..{nl}				저항군 부관 르온	
QUEST_20180320_008057	El disco dice que algo está esperando en el Refugio Patogus. sé exactamente qué está esperando allí... ¡pero deberíamos averiguarlo! Vamos.	잠시 원판을 붙여서 내용을 확인해 볼게요.				저항군 부관 르온	
QUEST_20180320_008058	El disco dice que algo está esperando en el Refugio Patogus.{nl}No sé exactamente qué está esperando allí... ¡pero deberíamos averiguarlo! Vamos.	내용을 확인해 보니 파토구스 쉼터에서 기다리겠다는 내용이 담겨있군요.{nl}뭘 기다린다는 건지 모르겠지만.. 일단 파토구스 쉼터로 이동해보죠!				저항군 부관 르온	
QUEST_20180320_008059	¿Qué hace una niña en un lugar peligroso como este...?{nl}Y... ¿de qué estaba hablando?	이런 위험한 곳을 돌아다니다니..{nl}그보다.. 방금 전 소녀가 얘기한 게 뭘 뜻하는 걸까요?				저항군 부관 르온	
QUEST_20180320_008060	Creo que estaba hablando de un altar y el disco...{nl}	그 소녀가 제단과 원판에 대한 얘기를 한 것 같은데..{nl}				저항군 부관 르온	
QUEST_20180320_008061	¡Oh! Hay un altar en el refugio. ¿Deberíamos intentar colocar el disco allí?	아! 쉼터에 제단이 하나 있는데 그 제단 위에 원판을 올려보는 게 어떻습니까?				저항군 부관 르온	
QUEST_20180320_008062	¡Vamos!	그럼 어서 이동하죠!				저항군 부관 르온	
QUEST_20180320_008063	Esto significa que todas las provisiones de Lydia Schaffen eran un plan de la Diosa Laima...	리디아 샤펜님의 안배가 라이마 여신님의 뜻이였다니..				저항군 부관 르온	
QUEST_20180320_008064	Estos Orbes podrían ser la respuesta a nuestros problemas.{nl}	아마도 그 보주가 지금의 상황을 타개할 결정적인 물건 같습니다.{nl}				저항군 부관 르온	
QUEST_20180320_008065	Vuelve con el élder Ramunas. Cuéntale lo que pasó y muéstrale los orbes. {nl}Primero limpiaré el refugio y me uniré a ti más tarde.	집결지로 돌아가 라무나스 장로님에게 지금까지의 일들을 얘기하고 그 보주를 보여주세요.{nl}전 이 쉼터 주변에 있는 마족을 처치하고 난 후에 움직이겠습니다.				저항군 부관 르온	
QUEST_20180320_008066	¡Ir! ¡Debes contarle al élder Ramunas lo que encontramos!	어서 가서 이 일을 라무나스 장로님에게 알려드리세요!				저항군 부관 르온	
QUEST_20180320_008067	¿Es esto cierto?{nl}Las provisiones de Schaffen eran un plan de la Diosa Laima...{nl}	그게 사실인가?{nl}리디아 샤펜님의 안배가 라이마 여신님의 뜻이라면..{nl}				장로 라무나스	
QUEST_20180320_008068	Y estos Orbes, tan llenos de energía divina...{nl}El comandante llegó no hace mucho, debería saber sobre esto.	게다가 이런 신성한 힘을 가진 보주라니..{nl}일단 이곳에 총사령관이 내려왔으니 그와 얘기해 보는 게 좋을 듯하네.				장로 라무나스	
QUEST_20180320_008069	¿Habló con el élder Ramunas?	아직 라무나스 장로님과 대화하지 않으신 건가요?				저항군 부관 르온	
QUEST_20180320_008070	Finalmente nos encontramos. Escuché todo sobre ti.{nl}Mi nombre es Byle.	처음 뵙는군요. 얘기는 익히 들었습니다.{nl}바일이라고 합니다.				저항군 총사령관 바일	
QUEST_20180320_008071	Adelante, habla con el comandante.	어서 총사령관과 얘기해보게.				장로 라무나스	
QUEST_20180320_008072	¿Estás diciendo que este Orbe puede detectar demonios disfrazados de humanos?{nl}	이 보주로 인간으로 위장한 마족을 구별해 낼 수 있다는 말입니까?{nl}				저항군 총사령관 바일	
QUEST_20180320_008073	Me resulta difícil creer que haya demonios reales del lado de Ignas... {nl}Pero viendo lo que ha sucedido hasta ahora, veo la posibilidad.{nl}	이그나스 측 지휘관 중에 마족이 섞여 있다는 얘기는 믿기 힘들지만..{nl}지금까지의 정황상 그 얘기가 가능성 있는 얘기로 들리는군요.{nl}				저항군 총사령관 바일	
QUEST_20180320_008074	Los miembros que ahora están del lado de Ignas seguramente cambiarán de opinión si se enteran. {nl}Imagínate descubrir que los líderes de tu campamento fueron demonios todo el tiempo.{nl}	이그나스 측 단원들도 이 사실을 알게 된다면 생각이 바뀔지도 모릅니다.{nl}자신들의 지휘관이 마족이었다는 사실을 알게 되면 굉장히 혼란스러워 질 테죠.{nl}				저항군 총사령관 바일	
QUEST_20180320_008075	Tengo una idea.{nl}Plantamos estos orbes cerca de las tierras bajas de Raikinas.{nl}	좋은 생각이 났습니다.{nl}라이키나스 저지대 근처에 그 보주를 매설하는 겁니다.{nl}				저항군 총사령관 바일	
QUEST_20180320_008076	Luego, atraemos a los demonios disfrazados de humanos al campo...{nl}Y esperamos a que los Orbs reaccionen.{nl}	인간으로 위장한 그 마족 지휘관을 매설지역으로 유인해 낸다면..{nl}매설되어 있던 보주가 그 마족 지휘관에게 반응할 겁니다.{nl}				저항군 총사령관 바일	
QUEST_20180320_008077	Podrían descubrir que estamos tramando algo si lo hago... {nl} Si no es pedir demasiado, ¿plantarías los orbes tú mismo?	제가 움직이면 저들이 눈치챌지도 모르니..{nl}계시자님께 보주 매설을 부탁드려도 되겠습니까?				저항군 총사령관 바일	
QUEST_20180320_008078	Plantar los orbes en tres lugares diferentes debería ser suficiente.	적당히 세 군데 지역에 보주를 매설하면 되겠군요.				저항군 총사령관 바일	
QUEST_20180320_008079	¿Están plantados los orbes?	아직 매설은 안 되었나요?				저항군 총사령관 바일	
QUEST_20180320_008080	¡Bien!	모두 매설하셨군요!				저항군 총사령관 바일	
QUEST_20180320_008081	Ahora a atraer a los comandantes demoníacos de Ignas.	그럼 그 지휘관을 유인하기 위해 움직이죠!				저항군 총사령관 바일	
QUEST_20180320_008082	¡Es un éxito! {nl}Has hecho un gran trabajo, Revelator.	성공적이었습니다!{nl}계시자님께서 정말 큰 일을 해내셨습니다.				저항군 총사령관 바일	
QUEST_20180320_008083	El punto de agua de esta región también está roto.{nl}Afortunadamente creo que podemos hacer que funcione nuevamente con los documentos que me diste.	이제 다음 수역으로 이동해 별의 탑을 탈환하기 위해 움직여야겠습니다.{nl}계시자님께서도 같이 움직이시겠습니까?				저항군 총사령관 바일	
QUEST_20180320_008084	El punto de agua de esta región también está roto.{nl}Afortunadamente creo que podemos hacer que funcione nuevamente con los documentos que me diste.{nl}	이곳 수역의 수반도 정상적으로 작동되지 않는다네.{nl}다행히도 자네가 건네준 관리문서를 보니 수반을 정상적으로 가동할 수 있겠어.{nl}				장로 라무나스	
QUEST_20180320_008085	Me temo que no tenemos piedras mágicas para operar los controladores. {nl}Aunque recuerdo haber oído que solían cargarlos con piedras que transportaban la energía del lago. {nl}	그런데 수반 제어에 필요한 마법석들이 없어서 고민일세.{nl}지금은 마법석을 이용하지만, 과거에는 호수의 기운이 깃든 돌들을 가공해서 수반시설을 가동했다고 들었네.{nl}				장로 라무나스	
QUEST_20180320_008086	Y los documentos sólo dicen que los controladores necesitan un medio para la reacción mágica...{nl}¡Quizás no tengan que ser Piedras Mágicas!{nl}	관리문서에는 마법적인 반응을 일으키는 매개체를 사용하라고 적혀있으니..{nl}꼭 마법석이 아니어도 된다는 얘기겠지!{nl}				저항군 라무나스 장로	
QUEST_20180320_008087	Además, no tenemos tiempo que perder. Algunas piedras de energía del lago tendrán que ser suficientes.{nl}	시간이 없는 만큼 호수의 기운이 깃든 돌들을 마법석 대용으로 써야겠네.{nl}				장로 라무나스	
QUEST_20180320_008088	El lote Atskiras tiene muchas piedras. ¿Irías a recoger algunas para mí?	앳스키라스 공터에 그 돌들이 많으니 자네가 대신 그 돌들을 수집해 줄 수 있겠나?				장로 라무나스	
QUEST_20180320_008089	Iría contigo, pero si lo hago el área de montaje no tendrá nadie que la cuide.{nl}Lo siento. Buena suerte.	나도 돕고 싶지만 내가 빠지면 집결지 내 병사들을 지휘할 사람이 없네.{nl}그럼 부탁함세.				장로 라무나스	
QUEST_20180320_008090	¿Buscaste las piedras en Lot?	공터의 돌들은 확인해 봤나?				장로 라무나스	
QUEST_20180320_008091	Esto parece suficiente.	그 정도 양이면 충분할 것 같군.				장로 라무나스	
QUEST_20180320_008092	Como sabes por haber trabajado en otros puntos de agua, debes colocar las piedras en un número determinado y en un orden determinado.{nl}	이전 수역에서도 수반을 가동해서 알겠지만..{nl}제어장치 위에 돌들을 순서와 개수에 맞춰서 올려놔야 하네.{nl}				장로 라무나스	
QUEST_20180320_008093	Para nuestro punto de agua...{nl}Dice 1, 2 y 3 piedras por controlador, colocadas en el sentido de las agujas del reloj en orden.{nl}	이 수역에 있는 수반을 가동하기 위해선..{nl}올려놓는 돌을 각각 1개, 2개, 3개씩 시계방향 순서대로 올려놔야 한다고 쓰여있군.{nl}				장로 라무나스	
QUEST_20180320_008094	Como ya conoces los puntos de agua, ¿irías a reactivar el nuestro?	자네도 수반을 한번 작동시켜서 방식을 알고 있을 테니..{nl}이 곳 수역에 있는 수반도 자네가 가동해 줄 수 있겠나?				장로 라무나스	
QUEST_20180320_008095	Ah, y sobre los círculos mágicos del Fondo para el Agua.{nl}La página del documento estaba rota, así que no podía estar seguro...{nl}	아.. 그리고 이곳 수역에 있는 수반시설의 보호마법진을 활성화하는 방법 말일세.{nl}문서는 찢겨 있어서 자세히 확인하진 못했지만..{nl}				장로 라무나스	
QUEST_20180320_008096	Pero si no recuerdo mal, necesitas transformar todos los círculos mágicos alrededor del punto de agua.{nl}Y hay un tipo de dispositivo preventivo... una trampa, por así decirlo.{nl}	내 기억하기로는 수반 주변의 마법진들을 모두 변형시켜야 하는 걸로 알고 있네.{nl}방해 장치도 등장한다는 것 같은데..{nl}				장로 라무나스	
QUEST_20180320_008097	Si ves algo parecido, intenta evitarlo.	방해 장치로 보이는 게 나타나면 그걸 피해서 진행해보게.				장로 라무나스	
QUEST_20180320_008098	¿Está funcionando el punto de agua ahora?{nl}Recuerda el orden correcto y la cantidad de piedras.	수반은 정상적으로 가동했는가?{nl}돌을 올려놓는 순서와 개수를 잘 생각해보게.				장로 라무나스	
QUEST_20180320_008099	¿El punto de agua está funcionando ahora? {nl}Es bueno saberlo, gracias.	수반을 정상적으로 가동시켰단 말인가?{nl}정말 고맙네.				장로 라무나스	
QUEST_20180320_008100	Los miembros del campamento de Ignas están empezando a dudar de él después de descubrir que estaban del lado de los demonios.{nl}	자신이 따르던 자가 마족이었단 사실을 알게 되자 이그나스 측 단원들이 동요하고 있어요.{nl}				저항군 부관 테일러	
QUEST_20180320_008101	Si logramos convencerlos, serán de gran ayuda para recuperar la Torre Astral.{nl}¿Nos echarías una mano?	저들을 모두 회유한다면 별의 탑을 탈환하는 데 큰 힘이 될 겁니다.{nl}계시자님께 회유하는 일을 부탁드려도 될까요?				저항군 부관 테일러	
QUEST_20180320_008102	Creo que será más efectivo si eres tú quien habla con ellos.{nl}Buena suerte.	저항군 측에서 나서는 것보다 계시자님이 나서는 게 더 효과적일 거에요.{nl}그럼 부탁드리겠습니다.				저항군 부관 테일러	
QUEST_20180320_008103	Imagínese cuánto más fuertes seremos si tuviéramos a todos los miembros de nuestro lado.	동요하는 단원들을 모두 회유하게 된다면 사실상 전력이 배가 되는 거죠.				저항군 부관 테일러	
QUEST_20180320_008104	Convenciste a todos los miembros.{nl}Gracias.	모두 회유하셨나 보군요!{nl}감사합니다.				저항군 부관 테일러	
QUEST_20180320_008105	Hay demasiados demonios alrededor, apenas podemos movernos. {nl} ¿Podrías despejar el área para nosotros?	주변에 마족들이 너무 많아 저항군들이 움직이기가 쉽지 않네요.{nl}주변 마족들을 처치해주실 수 있나요?				저항군 부관 르온	
QUEST_20180320_008106	Estaré aquí descansando. Gracias.	제가 쉬고 있는 동안 부탁드립니다.				저항군 부관 르온	
QUEST_20180320_008107	¿Limpiaste algunos de los demonios cercanos?	주변 마족들을 모두 처치하셨나요?				저항군 부관 르온	
QUEST_20180320_008108	Ahora hay muchos menos demonios.{nl}Gracias.	마족들의 수가 눈에 띄게 줄어들었군요.{nl}감사합니다.				저항군 부관 르온	
QUEST_20180320_008109	Escuché mucho sobre ti, Revelator.{nl}Commander Byle también acaba de llegar. Parece que el demonio que ocupa la región no es otro que Pbeta.{nl}	계시자님의 얘기는 많이 들어서 알고 있습니다.{nl}마침 바일님이 도착하셔서 얘기하시길, 이 수역에 있는 상급 마족이 프베타라고 하더군요.{nl}				레인저 모르비오	
QUEST_20180320_008110	Oh, casi lo olvido. Mi nombre es Morvio, soy alumno del Maestra Guardabosques.{nl}Ella me pidió que viniera a ayudar a los soldados de la resistencia, así que aquí estoy.{nl}	아, 제 소개가 늦었군요. 전 레인저 마스터님의 제자 모르비오라고 합니다.{nl}마스터님의 부탁으로 저항군들을 도와주기 위해 이렇게 오게 되었습니다.{nl}				레인저 모르비오	
QUEST_20180320_008111	Quizás no lo sepas, pero la situación es muy, muy grave.{nl}	모르시겠지만, 이곳은 지금 심각한 상황입니다.{nl}				레인저 모르비오	
QUEST_20180320_008112	Pbeta ha plantado piedras de control mental en toda la región para comandar a los monstruos. {nl} Aparentemente, la fuerte energía de las piedras es suficiente para hipnotizarlos por completo. {nl}	프베타가 수역 내 몬스터들을 조종하는 제어 마법석들을 수역 이곳저곳에 만들어 두었더군요.{nl}제어 마법석에서 흘러나오는 강력한 기운들이 몬스터들을 강제적으로 조종하는 듯합니다.{nl}				레인저 모르비오	
QUEST_20180320_008113	Usted y el comandante Byle deberían discutir qué hacer.	일단 앞으로 어떻게 할 건지 바일님과 얘기를 나누시는 게 좋을 것 같습니다.				레인저 모르비오	
QUEST_20180320_008114	Voy a estar esperando.	그럼 기다리고 있겠습니다.				레인저 모르비오	
QUEST_20180320_008115	Parece que ya conociste a Morvio.{nl}Oort también está aquí para ayudar a los soldados de la resistencia.{nl}	앞에 계신 모르비오님과 먼저 인사를 나누셨나 보군요.{nl}모르비오님과 옆에 계신 오르트님은 저희 저항군을 돕기 위해 오신 분들입니다.{nl}				저항군 총사령관 바일	
QUEST_20180320_008116	Vinieron a verme no hace mucho y los envié aquí para explorar el área. {nl}Hubo avistamientos de un demonio de alto rango cerca, así que pensé que deberíamos investigar.{nl}	얼마 전, 두 분이 저희를 돕기 위해 찾아왔을 때 제가 이곳을 정찰해달라고 부탁드렸습니다.{nl}이곳 수역에서 상급 마족을 목격했다는 제보가 들어왔기 때문에 어렵게 부탁을 드렸죠.{nl}				저항군 총사령관 바일	
QUEST_20180320_008117	Lo más probable es que el demonio sea Pbeta, de quien se rumoreaba que había chocado con Ignas.{nl}	아무래도 이 수역에 있는 상급 마족이 이그나스와 결탁했다는 프베타라는 마족일 겁니다.{nl}				저항군 총사령관 바일	
QUEST_20180320_008118	Como sabes, estamos un poco cortos de personal...{nl}No sólo para apoderarnos de la Torre Astral, sino sobre todo para derrotar a Pbeta.{nl}	아시다시피 별의 탑을 탈환하기 위해선 저항군의 수가 무엇보다 중요한데..{nl}프베타를 처치하기 위해 저항군의 인원을 나누기가 힘드네요.{nl}				저항군 총사령관 바일	
QUEST_20180320_008119	Por favor, ayuda a los alumnos del Máster a derrotar a Pbeta.	계시자님께서 여기 도와주러 오신 마스터 제자분들과 함께 프베타를 처치해 주십시오.				저항군 총사령관 바일	
QUEST_20180320_008120	¿Ya has hablado con el comandante Byle?	바일님과 얘기를 아직 안 하셨습니까?				레인저 모르비오	
QUEST_20180320_008121	No podemos rechazar una orden del Comandante Byle. {nl}Vamos.	바일님께서 그리 말씀하시니 거절할 수 없지요.{nl}한번 해 보죠.				레인저 모르비오	
QUEST_20180320_008122	Me pregunto si mi petición no fue demasiado para usted y los estudiantes.	계시자님과 마스터 제자분들에게 무리한 부탁이 아닌가 싶군요.				저항군 총사령관 바일	
QUEST_20180320_008123	Si vamos a llegar a Pbeta, primero debemos destruir sus Piedras Mágicas que controlan la mente.{nl}Eso al menos mantendrá a los monstruos alejados de nosotros.{nl}	프베타를 처치하기에 앞서 제어 마법석들을 파괴해야 합니다.{nl}제어 마법석만 파괴한다면 수역 내 몬스터들은 우릴 건드리지 않을 겁니다.{nl}				레인저 모르비오	
QUEST_20180320_008124	¿Comenzarías haciendo eso?	계시자님께서 직접 제어 마법석을 파괴해 주시겠습니까?				레인저 모르비오	
QUEST_20180320_008125	Antes de destruir las piedras, usa esta piedra absorbente para absorber la energía maligna de las piedras mágicas de Pbeta.{nl}	제어 마법석을 파괴하기 전에 이 흡수석으로 제어 마법석의 사악한 기운을 흡수해 주세요.{nl}				레인저 모르비오	
QUEST_20180320_008126	No se sabe cómo reaccionarán las piedras de Pbeta si intentas destruirlas mientras la energía aún fluye... {nl}	사악한 기운이 흐르는 동안에 제어 마법석을 파괴하려 한다면..{nl}어떤 반응이 나올지 모르니깐요.{nl}				레인저 모르비오	
QUEST_20180320_008127	Ojalá pudiera acompañarme, pero me temo que los monstruos dirán que estamos tramando algo si vamos juntos...{nl}Buena suerte.	계시자님과 같이 움직이고 싶지만 몬스터들이 눈치챌지도 모르니..{nl}부탁드립니다.				레인저 모르비오	
QUEST_20180320_008128	La energía de las Piedras Mágicas de Pbeta se está extendiendo por toda la región. {nl}Nunca sentí algo así.	제어 마법석에서 흘러나오는 사악한 기운이 이 수역 전체를 휘감고 있어요.{nl}이렇게 사악한 기운은 처음 느껴봅니다.				레인저 모르비오	
QUEST_20180320_008129	¡Destruiste las Piedras Mágicas! {nl}Pero ahora... la energía proveniente de la Piedra Absorbente me está asustando.{nl}	제어 마법석을 모두 파괴하셨군요!{nl}그보다.. 이 흡수석에 들어있는 기운들은 정말 소름 끼치는군요.{nl}				레인저 모르비오	
QUEST_20180320_008130	Pensaré en una manera de disponer de la energía.	일단 이 흡수석은 제가 특수하게 용해하겠습니다.				레인저 모르비오	
QUEST_20180320_008131	¿Sentiste la energía que se estaba extendiendo por aquí? {nl} ¡La energía maligna que tomaste con esa Piedra Absorbente! {nl}	이 수역에 퍼져있는 사악한 기운을 혹시 자네도 느꼈는가?{nl}자네가 조금 전 흡수석을 통해 흡수했던 그 사악한 기운 말일세!{nl}				장로 라무나스	
QUEST_20180320_008132	Ya sabes, guardan cosas muy peligrosas en lo profundo de la Torre Astral.{nl}Incluida la esencia de Ziburynas, el señor demonio que fue derrotado por Lydia Schaffen.{nl}	별의 탑에서는 대륙에 나와서는 안 될 위험한 물건들을 탑 깊숙한 곳에 보관하고 있다네.{nl}특히 과거 리디아 샤펜님이 죽인 마왕 지부리나스의 정수도 보관되어 있지.{nl}				장로 라무나스	
QUEST_20180320_008133	Lo vi una vez, cuando estaba trabajando dentro de la Torre.{nl}Nunca olvidaré la terrible energía que sentí entonces.{nl}	탑의 장로에 있을 때 그 정수를 한 번 본 적이 있어.{nl}그때 느꼈던 그 사악한 기운은 지금도 잊혀지지 않는다네.{nl}				저항군 라무나스 장로	
QUEST_20180320_008134	Pero ahora... ¡puedo sentirlo de nuevo! ¡Es la misma energía, extendiéndose por toda la región! {nl} ¿Y si... Ignas tomara la esencia de Ziburynas y se la diera a Pbeta? {nl}	그런데 이 수역에 퍼져있는 사악한 기운이 그 정수에서 흘러나오던 기운과 똑같은 기운을 가지고 있네!{nl}아무래도.. 이그나스가 탑에 보관되어 있던 지부리나스의 정수를 프베타에게 넘겨준 것 같군.{nl}				저항군 라무나스 장로	
QUEST_20180320_008135	Es posible que hayas oído que Lydia Schaffen mató a Ziburynas con una poderosa flecha llamada Flechette.{nl}Quizás el Maestro Fletcher pueda ayudarnos a encontrar una manera de luchar contra la esencia de Ziburynas.{nl}	과거 리디아 샤펜님이 플레세트라는 강력한 화살로 마왕 지부리나스를 처치했다고 하지.{nl}플레처 마스터 또한 지부리나스의 정수를 가진 마족을 처치할 방안을 알고 있을지도 모르네.{nl}				저항군 라무나스 장로	
QUEST_20180320_008136	Si te parece bien, ¿harías una visita al Maestro Fletcher?	괜찮다면, 자네가 플레처 마스터를 찾아가 그 방안이 있는지 확인해 줄 수 있겠나?				저항군 라무나스 장로	
QUEST_20180320_008137	Debería estar en el Jardín Antiguo de la Diosa.{nl}	플레처 마스터는 여신의 옛뜰에 있을걸세.{nl}				장로 라무나스	
QUEST_20180320_008138	Ah, y parece que envió a uno de sus estudiantes para ayudar, pero todavía no se los ve por ningún lado. {nl}Me pregunto si pasó algo... Verifique con el Maestro Fletcher.{nl}{nl}	아, 그리고 플레처 마스터가 제자를 보내주기로 했는데 아직 도착하지 않았더군.{nl}무슨일이 생긴 것인지.. 제자를 보냈는지도 플레처 마스터에게 같이 확인해 주게.{nl}{nl}				저항군 라무나스 장로	
QUEST_20180320_008139	La esencia de Ziburynas... Esto es muy serio.	지부리나스의 정수라.. 그거 심각한 일이군.				플레처 마스터	
QUEST_20180320_008140	¿Ya visitaste el Maestro Fletcher?	아직 플레처 마스터를 찾아가지 않았는가?				장로 라무나스	
QUEST_20180320_008141	Sí, Lydia Schaffen mató a Ziburynas hace mucho tiempo.{nl}Pero ¿sabes cómo lo hizo? Todo fue gracias a la Flechette, una poderosa flecha creada por mis antepasados.{nl}	오래전 리디아 샤펜이 마왕 지부리나스를 처치했다고 전해지지.{nl}그 마왕 지부리나스를 처치할 때 내 선조께서 만드신 플레세트라는 강력한 화살을 사용한 사실을 알고 계시오?{nl}				플레처 마스터	
QUEST_20180320_008142	Todavía tengo que encontrarlo, pero... investigué al respecto.{nl}Encontré una manera de producir una flecha que es casi tan poderosa como la Flechette original.{nl}	그 플레세트를 아직 찾아내진 못했지만.. 나름 플레세트를 고증 연구했소.{nl}그 힘에는 미치지 못해도 그에 못지않은 강력한 화살 제조법을 만드는 데 성공했지.{nl}				플레처 마스터	
QUEST_20180320_008143	Puedo pasarte las instrucciones. Por favor entrégueselo a mi estudiante.	내가 그 제조법을 건네줄 테니 자네가 가서 내 제자에게 전해 주시지 않겠소?				플레처 마스터	
QUEST_20180320_008144	Ya han pasado unos días desde que se fue...{nl}Si vas ahora, él debería estar allí cuando llegues.{nl}	제자는 이미 며칠 전에 출발했소.{nl}아마 제자와 서로 길이 엇갈린 것 같으니 지금 가면 도착해 있을 거요.{nl}				플레처 마스터	
QUEST_20180320_008145	Y asegúrate de mantener un ojo en esa Esencia de la Tierra. Mi alumno no tomó ninguno, por eso es muy importante que no lo pierda.{nl}	아, 그리고 같이 건네준 그 대지의 정수는 제자가 가져간 물품에 없으니 잃어버리면 안 되오.{nl}화살 제조에 꼭 필요한 재료이기도 하고, 구하기도 쉽지 않은 물건이니 잘 확인해가면서 가시오.				플레처 마스터	
QUEST_20180320_008146	Esas son algunas cosas maravillosas que te entregó.{nl}Y su alumno también está aquí.{nl}	플레처 마스터가 아주 중요한 물건을 전해주었구먼.{nl}그렇지 않아도 마침 플레처 마스터의 제자가 도착해 있네.{nl}				장로 라무나스	
QUEST_20180320_008147	Ve y dale las cosas.	그에게 이 물품들을 전달해주게.				장로 라무나스	
QUEST_20180320_008148	¿Ya le diste todo al estudiante de Maestro Fletcher?	아직 전달하지 않은 거요?				플레처 마스터	
QUEST_20180320_008149	¿El Maestro te los dio?	마스터님께서 전해주셨다고요?				플레처 볼레타	
QUEST_20180320_008150	El estudiante llegó justo después de que usted se fue. {nl}Parece que tomaron caminos diferentes.	자네가 플레처 마스터를 만나러 가고 나서 바로 도착했더군.{nl}서로 길이 엇갈린 듯하네.				장로 라무나스	
QUEST_20180320_008151	Parece que la situación es grave, según estas instrucciones.{nl}Escuché que un gran demonio estaba en el área.{nl}	마스터님께서 굉장한 제조법을 만드신 것 같군요.{nl}이 곳 수역에 프베타라는 상급 마족이 있다는 얘길 들었습니다.{nl}				플레처 볼레타	
QUEST_20180320_008152	Una flecha como esta sería de gran ayuda para enfrentar a un demonio como Pbeta...{nl}Pero me faltan los materiales para la punta de flecha.{nl}	만약 이 화살을 제작하게 되면 프베타를 상대할 때 정말 유용할 텐데..{nl}이 화살 제조법에 나와 있는 재료 중에 화살촉에 쓰일 재료가 제 수중에 없습니다.{nl}				플레처 볼레타	
QUEST_20180320_008153	Noté algo de obsidiana natural en el camino a 86 Aguas.{nl}Si tenemos suerte, podrían contener algo de magia...{nl}	마침 86수역으로 가는 길 근처에 천연 흑요석이 많이 보이더군요.{nl}그 흑요석들이 마력을 가지고 있는 것 같던데..{nl}				플레처 볼레타	
QUEST_20180320_008154	Creo que puedo hacer una buena punta de flecha con un poco de obsidiana. {nl} Si no es mucho pedir, ¿podrías conseguirme un poco?	그 흑요석들을 잘 다듬으면 아주 강력한 화살촉을 만들 수 있을 것 같습니다.{nl}계시자님께서 흑요석들을 구해다 주실 수 있으신가요?				플레처 볼레타	
QUEST_20180320_008155	Mientras tanto estaré preparando las herramientas para procesar el mineral.{nl}Gracias.{nl}	저도 돕고 싶지만, 흑요석을 녹일 준비를 해야되서요.{nl}그럼 부탁드릴게요.{nl}				플레처 볼레타	
QUEST_20180320_008156	¿Trajiste la obsidiana?	흑요석은 구해 오셨나요?				플레처 볼레타	
QUEST_20180320_008157	Esto es suficiente.{nl}Gracias.	이정도 양이면 충분해요.{nl}감사합니다.				플레처 볼레타	
QUEST_20180320_008158	Ahora que lo pienso, también me faltan materiales para el emplumado.{nl}Pero creo que hay Humming Dukes cerca...{nl}	생각해보니 화살 깃에 쓰일 재료도 부족하군요.{nl}마침 주변에 허밍 듀크가 많이 있던데..{nl}				플레처 볼레타	
QUEST_20180320_008159	Las plumas de Humming Duke son flexibles pero duraderas. Serán buenos materiales para emplumar. {nl} ¿Podrías recolectar algunos para mí?	허밍 듀크의 깃털은 굉장히 질기고 유연해서 화살 깃에 매우 유용하게 쓰여요.{nl}계시자님이 허밍 듀크의 깃털을 구해다 주실 수 있으신가요?				플레처 볼레타	
QUEST_20180320_008160	Gracias.{nl}Seguiré adelante y haré la punta de flecha primero.	감사합니다.{nl}전 여기서 화살촉을 마저 제작하고 있을게요.				플레처 볼레타	
QUEST_20180320_008161	Por favor, asegúrese de que las plumas no se dañen, de lo contrario no puedo usarlas.	화살 깃으로 써야 하니 깃털은 상하지 않게 구해다 주세요.				플레처 볼레타	
QUEST_20180320_008162	Son muchas plumas.{nl}Tendré que tirar algunas de las largas y blancas, pero el resto se ve lo suficientemente bien como para usarlas en las emplumadas.{nl}	많이도 구해 오셨네요.{nl}깃털이 휜 거 몇 개 빼고는 나머지들의 상태가 좋으니 화살 깃으로 쓰기에 충분해요.{nl}				플레처 볼레타	
QUEST_20180320_008163	Espera un momento mientras fabrico la flecha.	그럼 화살을 제작하는 동안 기다려 주세요.				플레처 볼레타	
QUEST_20180320_008164	Cazador de Oort	헌터 오르트					
QUEST_20180320_008165	Lo siento, no me presenté antes. Soy Oort.{nl}Mi Maestro me envió aquí para ayudar a los soldados de la resistencia...{nl}	소개가 늦었군요. 전 오르트라고 합니다.{nl}마스터의 부탁으로 저항군을 돕기 위해 이곳에 와 있는데..{nl}				헌터 오르트	
QUEST_20180320_008166	Pero parece que ahora tendremos que enfrentarnos a Pbeta. ¿Es así? {nl} ¿No tendremos que lidiar también con sus subordinados? Creo que deberíamos prepararnos para eso.{nl}	상황을 보니 곧 프베타를 처치하기 위해 움직이실 것 같네요.{nl}프베타의 부하들도 대비해야 할 텐데 그 준비를 아직 안하신 것 같아요.{nl}				헌터 오르트	
QUEST_20180320_008167	Hay una planta muy venenosa que crece cerca del antiguo jardín llamada Ziburyte.{nl}¿Me traerías un poco?{nl}	무너진 옛 정원 터에 지부리트라는 독성이 아주 강한 풀이 자라더군요.{nl}계시자님이 그 지부리트 풀을 구해다 주실 수 있으신가요?{nl}				헌터 오르트	
