QUEST_LV_0200_20150317_000001	Soldado de Felipe
QUEST_LV_0200_20150714_007445	Hace mucho tiempo, presté servicio como guardia en el ejército como esos tipos{nl}. Era un oficial subalterno que quería convertirse en estratega. Al menos antes de Medzio Diena.
QUEST_LV_0200_20150714_007446	Si encuentra a algún individuo sospechoso que no forme parte del {nl}Ejército Real o del Caballero de Kaliss, infórmenos.{nl}Especialmente si parecen saqueadores de tumbas.
QUEST_LV_0200_20150714_007447	Por favor, no toques nada. Mantén la calma.
QUEST_LV_0200_20150714_007448	Si encuentra algún registro antiguo que presente al reino bajo una luz negativa, {nl}destrúyalo inmediatamente o infórmenos.
QUEST_LV_0200_20150714_007449	La helada petrificante podría llegar de repente, así que, si es posible, quédense con nosotros.
QUEST_LV_0200_20150714_007450	Aparte de la Escarcha Petrificante, peligrosos monstruos y amenazantes ladrones de tumbas acechan en los rincones de aquí{nl}. No soy responsable de los incidentes que causes fuera de nuestra vigilancia.
QUEST_LV_0200_20150714_007451	Esta ciudad es una zona restringida.{nl}Les dejaré pasar como me han ordenado, pero por favor absténganse de hacer cualquier cosa fuera de lugar.
QUEST_LV_0200_20150714_007452	¿No conoces bien este lugar? La rebelión de Ruklys ocurrió aquí hace 600 años{nl}. Este lugar está maldito con la Escarcha Petrificante y, por lo tanto, es muy peligroso.{nl}
QUEST_LV_0200_20150714_007453	Quiero que me cambien pronto{nl}. No quiero seguir en esta horrible ciudad.
QUEST_LV_0200_20150714_007454	Aunque nadie quiere estar en este lugar, uno simplemente entra en esta ciudad. Qué extraño.
QUEST_LV_0200_20150714_007455	Es ilegal llevarse artefactos, registros o reliquias que pertenezcan a este lugar{nl}. Cualquiera que lo haga será castigado, así que por favor téngalo en cuenta.{nl}
QUEST_LV_0200_20150714_007456	Una vez que te alcanza la Escarcha Petrificante, todo ha terminado para ti{nl}. Hemos perdido a muchos de nuestros colegas a causa de la Escarcha Petrificante.
QUEST_LV_0200_20150714_007457	Muchos de los eruditos y magos más famosos del reino no pudieron levantar la maldición de la petrificación..{nl}. No entiendo cómo un Caballero de Kaliss pudo levantar la maldición.
QUEST_LV_0200_20150714_007458	La relación entre nosotros, los guardias del Ejército Real, y los Caballeros de Kaliss es algo complicada.{nl}Por favor, absténgase de hacer algo prohibido, incluso si es a petición de los Caballeros de Kaliss.
QUEST_LV_0200_20150714_007459	Aquí las reglas del Ejército Real son supremas.{nl}Incluso si eres el famoso Revelador.
QUEST_LV_0200_20150714_007460	Aunque hayas recibido una solicitud de los Caballeros de Kaliss, las órdenes del Ejército Real tienen prioridad{nl}. Aquí nosotros somos la ley.
QUEST_LV_0200_20150714_007461	Estoy irritado por los guardias del Ejército Real, pero luego aparecieron esos ladrones de Dico.{nl}¿Cómo es posible que haya tanta gente en este pequeño espacio?
QUEST_LV_0200_20150714_007462	No puedo soportarlo más{nl}. Por favor, sálvame de estas ataduras. Seré liberado cuando derrotes a los vigilantes cercanos.
QUEST_LV_0200_20150714_007463	Mi nombre es Agailla Flurry. {nl}Me he dado cuenta de algo a partir de los epitafios que quedaron en la tierra y quisiera hacer una confesión.
QUEST_LV_0200_20150714_007464	Qué tontería es ser demasiado confiado y dejarse llevar por sentimientos superficiales{nl}. Tú, que vives en tiempos como estos, debes haberte dado cuenta de algo parecido a lo que yo me di cuenta.{nl}
QUEST_LV_0200_20150714_007465	Todos los demás Reveladores estaban equivocados{nl}. Pero si fueras tú... no lo sé.
QUEST_LV_0200_20150714_007466	Volveré a mi ciudad natal con mi hijo.{nl}Sí. Por supuesto.
QUEST_LV_0200_20150714_007467	No puedo cerrar los ojos hasta que derrotemos a ese monstruo.
QUEST_LV_0200_20150714_007468	Nunca esperé ver a alguien en este lugar tan tenebroso{nl}. Supongo que eres muy competente{nl}. Estoy continuando la investigación de mi maestría aquí. Supongo que puedo considerarme un erudito.
QUEST_LV_0200_20150714_007469	Pero, en este momento importante, Hones no está cooperando con nosotros.{nl}Me disculparé con mi amo si Hones continúa haciendo eso...{nl}
QUEST_LV_0200_20150714_007470	¿En serio? ¡Es lo más alegre que he oído últimamente!{nl}{nl}
QUEST_LV_0200_20150714_007471	Veamos. Deben haber escondido por aquí el orbe que se puede usar para almacenar energía... {nl}Por favor, tráemelo primero. Yo mismo me prepararé para usarlo.
QUEST_LV_0200_20150714_007472	El orbe que puede usarse para aprovechar las energías de los muertos.{nl}Mi maestro lo creó. Antes era un hechicero famoso.
QUEST_LV_0200_20150714_007473	Lo has traído rápido{nl}. Definitivamente necesitamos esto para invocar la Piedra Guía de la Sabiduría{nl}. El maestro me lo dejó.
QUEST_LV_0200_20150714_007474	Entonces, tengo derecho a ver los documentos de nuestro amo y no de Hones, ¿verdad?
QUEST_LV_0200_20150714_007475	De acuerdo. Por favor, absorbe las energías de los muertos en el orbe.{nl}Los monstruos en esta tumba poseen las energías de los muertos, así que será fácil.
QUEST_LV_0200_20150714_007476	Necesitas absorber las energías de más monstruos.{nl}La Piedra Guía de la Sabiduría no se puede invocar fácilmente.
QUEST_LV_0200_20150714_007477	El orbe parece lleno de energía.{nl}Esto será suficiente.
QUEST_LV_0200_20150714_007478	Ahora, podemos invocar la Piedra Guía de la Sabiduría.{nl}Inyectaremos la energía en el Cristal del Alma que se encuentra en la Cámara de Piedra de Maras...
QUEST_LV_0200_20150714_007479	Pero, cada vez que intentábamos hacerlo, también venían los monstruos, así que fracasábamos cada vez.{nl}Si tan solo Hones me hubiera ayudado...
QUEST_LV_0200_20150714_007480	Cuando obtengas la Piedra Guía de la Sabiduría, muéstrasela a Hones en el Salón Raiduna.{nl}Si descubre que soy el único que podría continuar la investigación del maestro, me entregará los documentos.
QUEST_LV_0200_20150714_007481	Hones no cooperó con nosotros hasta ahora, pero esta vez tendría que entregárnoslos{nl}. Como el maestro solo me dejó el orbe a mí, la Piedra Guía de la Sabiduría solo puede ser obtenida por mí.
QUEST_LV_0200_20150714_007482	¿Hmm? ¿No es esa la Piedra Guía de la Sabiduría? ¿Quién eres y por qué me la muestras?{nl}
QUEST_LV_0200_20150714_007483	Maldita sea, Laius está malinterpretando algo{nl}. No{nl}. Tal vez el maestro y la diosa nos guiaron hasta aquí.
QUEST_LV_0200_20150714_007484	En fin, yo también tengo la Piedra Guía de la Sabiduría.
QUEST_LV_0200_20150714_007485	Laius... tiene un problema{nl}. No puedo decirlo. Ve al escondite del maestro. Entonces lo creerás.
QUEST_LV_0200_20150714_007486	Tal vez, resultó mejor de lo que pensábamos{nl}. No esperaba que Laius nos ayudara.
QUEST_LV_0200_20150714_007487	El maestro investigó sobre las diosas durante toda su vida{nl}. Y entonces descubrió algo importante, pero dijo que si caía en manos de los demonios, sería peligroso.{nl}
QUEST_LV_0200_20150714_007488	Como viste, Laius está tratando de encontrar los restos de la investigación del maestro debido a su codicia{nl}. Pero nunca deberían ser expuestos al mundo.
QUEST_LV_0200_20150714_007489	Ajá{nl}. Revelador{nl}. Tal vez... El maestro dijo que alguien confiable debería deshacerse de su investigación antes de morir.
QUEST_LV_0200_20150714_007490	Y los restos de la investigación están en un lugar al que la gente normal como yo o Laius no podemos llegar.{nl}Si realmente eres el Revelador, quiero que te deshagas de ellos.
QUEST_LV_0200_20150714_007491	Para encontrar los restos de la investigación, necesitamos los Ojos de la Verdad.{nl}Pero, no hace mucho, fueron destruidos por monstruos.
QUEST_LV_0200_20150714_007492	Con la Piedra Guía de la Sabiduría, podrás encontrar a los monstruos que portan fragmentos de los Ojos de la Verdad.
QUEST_LV_0200_20150714_007493	Aunque no seas el Revelador, cuento contigo{nl}. Sé que la Piedra Guía de la Sabiduría no se puede obtener tan fácilmente.
QUEST_LV_0200_20150714_007494	Bien. Con esto, podremos restaurar por completo los Ojos de la Verdad.
QUEST_LV_0200_20150714_007495	De acuerdo. Con estos Ojos de la Verdad, encontraremos el Cristal del Alma.{nl}Es un poco complicado, pero por favor piensen que es así de importante.{nl}
QUEST_LV_0200_20150714_007496	Shadowgaler en la Sala del Lamento tiene el Cristal del Alma, pero no puedes atacarlo con un método habitual{nl}. Tiene un cuerpo astral, por lo que es invisible{nl}. Sin embargo, con los Ojos de la Verdad, podrías verlo.
QUEST_LV_0200_20150714_007497	No sabía por qué el maestro dejó esas palabras, ya que no sabía a quién le pediría que se deshiciera de los restos de la investigación{nl}. Pero ahora entiendo por qué dejó esas palabras, ya que te he conocido.
QUEST_LV_0200_20150714_007498	Los restos de la investigación pueden encontrarse utilizando los documentos que Laius deseaba fervientemente tener.{nl}
QUEST_LV_0200_20150714_007499	Por favor, llévate la Piedra Guía de la Sabiduría y el Cristal del Alma y busca el Dispositivo de Fusión de Gemas Mágicas en la Tumba Subterránea de Ritinis.{nl}Te escribiré el método.
QUEST_LV_0200_20150714_007500	Llegaste tarde{nl}. ¿Obtuviste los documentos del maestro de Hones?
QUEST_LV_0200_20150714_007501	Tuve un malentendido..{nl}. Pero quería ser reconocido por el maestro como Hones.{nl}
QUEST_LV_0200_20150714_007502	El maestro siempre me elogiaba, pero me sentía incómodo cada vez que pensaba en Hones{nl}. Aunque ya falleció..{nl}. Es bueno saber qué pensaba el maestro.
QUEST_LV_0200_20150714_007503	Ahora me siento cómodo. {nl}Quiero hablar con Hones.
QUEST_LV_0200_20150714_007504	Muy bien{nl}. Has encontrado los restos de la investigación del maestro{nl}. Te dejaré que te encargues de ellos. Para mí es más importante continuar con la voluntad del maestro.
QUEST_LV_0200_20150714_007505	Me siento un poco decepcionado, pero también me siento cómodo en cierto modo. {nl}Bueno... Laius... espero que esté bien.
QUEST_LV_0200_20150714_007506	Dispositivo de fusión de gemas mágicas
QUEST_LV_0200_20150714_007507	Por favor, reúne todas las Gemas de Magia Espacial.{nl}Es difícil entender las reglas ocultas del espacio, pero mi conocimiento te ayudará.
QUEST_LV_0200_20150714_007508	Mi maestro, que era un hechicero, investigó sobre las diosas. {nl}Se trataba de una especie de espacio especial. Dijo que se podía obtener una gran cantidad de conocimiento de ese espacio.
QUEST_LV_0200_20150714_007509	Memorando habitual de Hones
QUEST_LV_0200_20150714_007510	La Gema Mágica Espacial del Contrato está en la sala de recepción, pero fue destruida recientemente.{nl}Los monstruos deben tener fragmentos de la gema.
QUEST_LV_0200_20150714_007511	Cuando hayas reunido todos los fragmentos de la Gema Mágica, dirígete a la Tumba del Sacerdote Olvidado{nl}. Puedes restaurar la Gema Mágica en el Campo Mágico de Preservación.
QUEST_LV_0200_20150714_007512	Memorando habitual de Hones
QUEST_LV_0200_20150714_007513	Encontrarás la Gema Mágica Espacial de la Promesa en la Mina Siaura.{nl}Por favor, usa el Cristal del Alma contra los monstruos y recoge el Rencor Condensado.{nl}
QUEST_LV_0200_20150714_007514	Con eso, destruye la Piedra Barrera en la Mina Siaura.{nl}El Perseguidor Negro te perseguirá por detrás, pero podrás encontrar la Gema Mágica Espacial de la Promesa cuando llegues al final de la mina.
QUEST_LV_0200_20150714_007515	Templeshooter en el Santuario del Recuerdo posee la Gema Mágica Espacial de la Ofrenda.{nl}La Piedra Guía de la Sabiduría te ayudará a encontrar al Templeshooter oculto.
QUEST_LV_0200_20150714_007516	Por favor... sálvanos.{nl}Pronto desapareceré, pero por favor salva a los demás.{nl}Por favor sálvanos... a ellos... de los demonios despiadados.
QUEST_LV_0200_20150714_007517	Cúpulas de Vita
QUEST_LV_0200_20150714_007518	Dado que tú también lo viste, estoy seguro de que hay algo aquí.{nl}{nl}
QUEST_LV_0200_20150714_007519	Ah, soy Kupole Vita. {nl} Guío a los espíritus en nombre de las diosas desaparecidas.
QUEST_LV_0200_20150714_007520	Vine aquí en busca de espíritus que han desaparecido{nl}. Puedo sentir que hay espíritus aquí que se han desviado del camino normal.{nl}
QUEST_LV_0200_20150714_007521	Pero, casi no puedo encontrar ninguna evidencia.{nl}Los espíritus casi no me hablan.
QUEST_LV_0200_20150714_007522	¿Qué? ¿Los espíritus te hablaron primero? Debes tener algo que te permita salvarlos.{nl}{nl}
QUEST_LV_0200_20150714_007523	Tengo una petición para ti{nl}. Quiero que escuches lo que están tratando de decir.
QUEST_LV_0200_20150714_007524	Como no hay pruebas suficientes, creo que deberíamos buscar más espíritus{nl}. También deberíamos averiguar por qué desaparecieron sin dejar ninguna palabra.
QUEST_LV_0200_20150714_007525	La razón por la que los espíritus no pueden hablar se debe a un contrato.{nl}Los demonios probablemente usaron la Olla del Silencio como un Contrato de Enunciación.{nl}
QUEST_LV_0200_20150714_007526	Sin embargo, la energía ominosa del contrato es demasiado fuerte para que pueda acercarme{nl}. Te daré unos polvos purificadores para que alejes la energía y destruyas la olla.{nl}
QUEST_LV_0200_20150714_007527	Sin embargo, ten cuidado. {nl}Será muy peligroso si está relacionado con los demonios.
QUEST_LV_0200_20150714_007528	Tal vez los espíritus desaparecidos rompieron el contrato al hablar. {nl}Creo que querían librarse de él haciéndolo.
QUEST_LV_0200_20150714_007529	Parece que has destruido la Olla del Silencio de forma segura{nl}. Sin embargo, ¿hay algún otro problema?
QUEST_LV_0200_20150714_007530	Parece que los demonios han notado nuestros movimientos{nl}. Debemos resolver esto rápido antes de que los demonios hagan algo.{nl}
QUEST_LV_0200_20150714_007531	Dado que el Contrato de Enunciación fue destruido, deberíamos poder escuchar a los espíritus con más detalle.{nl}Será bueno encontrar a los espíritus que conocen los detalles de la circunstancia.
QUEST_LV_0200_20150714_007532	El espíritu de Rimos
QUEST_LV_0200_20150714_007533	Ha pasado mucho tiempo{nl}. Tú..{nl}. Por fin me estoy liberando. He sido engañado por los demonios. Mis palabras, mi cuerpo e incluso mi espíritu han estado atados al contrato durante cientos de años.
QUEST_LV_0200_20150714_007534	Por favor, reúnan los esqueletos atados al Contrato de Carne en la Cámara de Piedra de Supube.{nl} Ayúdenlos a descansar en paz...{nl}
QUEST_LV_0200_20150714_007535	Nutrientes... Medzio Diena incluso hace sufrir a la gente en el pasado.
QUEST_LV_0200_20150714_007536	Mi cuerpo{nl}. Desafortunadamente, ya no me pertenece. Lamento mi error del pasado que cometí debido a mi codicia.
QUEST_LV_0200_20150714_007537	El Contrato de Carne está atado en el Salón Sataruti.{nl}Por favor, quemen el contrato y los esqueletos con poder sagrado.
QUEST_LV_0200_20150714_007538	Hemos sufrido mucho por arrepentimientos y fracasos durante cientos de años.{nl}Las diosas aún... ¿Seríamos salvados?
QUEST_LV_0200_20150714_007539	Puedo sentirlo. Siento que me estoy liberando del contrato vinculante.{nl}Pero hay una cosa más que hacer.
QUEST_LV_0200_20150714_007540	El Contrato del Espíritu está grabado en el Maestro Genio en la Cámara Funeraria de Garbingal.{nl}Seré completamente libre cuando el Maestro Genio sea derrotado.
QUEST_LV_0200_20150714_007541	Por favor, mantente a salvo{nl}. Nosotros ya estamos muertos, pero tú no.
QUEST_LV_0200_20150714_007542	Por fin puedo ser libre...{nl}Este era el momento que he estado esperando durante cientos de años... Se siente como un sueño.
QUEST_LV_0200_20150714_007543	Nosotros, los Kupoles, guiamos a todos los espíritus hacia la Diosa Ausrine{nl}. Descansan en paz junto a las diosas eternamente.{nl}
QUEST_LV_0200_20150714_007544	Pero todos desaparecerán si se extinguen{nl}. Pero, si los demonios están involucrados... tal vez podríamos usarlos como nutrientes.{nl}
QUEST_LV_0200_20150714_007545	Hay algo grabado en esta tablilla{nl}. Para ver lo que está escrito, debes obtener los materiales para hacer calcos.
QUEST_LV_0200_20150714_007546	Adrijus
QUEST_LV_0200_20150714_007547	Oh, debes haber visto mi tablón de anuncios.{nl}Bueno, no me importa si esa no es la razón por la que viniste aquí.{nl}Si pudieras conseguirme los calcos encontrados en esta región, te recompensaré adecuadamente.{nl}
QUEST_LV_0200_20150714_007548	Veamos...{nl}
QUEST_LV_0200_20150714_007549	Que los hilos del destino se suelten y ondeen libremente.
QUEST_LV_0200_20150714_007550	¿Podría ser la diosa Laima...?{nl}
QUEST_LV_0200_20150714_007551	Que los hilos del destino se suelten y ondeen libremente.
QUEST_LV_0200_20150714_007552	Oh, ¿eso es un frotamiento? Muchas gracias. {nl}Veamos...{nl}
QUEST_LV_0200_20150714_007553	Las murallas del Reino durarán más que el propio Reino.
QUEST_LV_0200_20150714_007554	¡Esto es correcto! La capital está en ruinas ahora, pero las murallas aún permanecen en pie.{nl}
QUEST_LV_0200_20150714_007555	¡Bienvenido! {nl} Elija lo que quiera.
QUEST_LV_0200_20150714_007556	Mira la inscripción que está a mi lado{nl}. Esta lápida se ha erosionado por el paso del tiempo desde tiempos inmemoriales{nl}. Necesitamos restaurarla.
QUEST_LV_0200_20150714_007557	Ten cuidado con esto. Es un veneno que convierte los fluidos corporales en ácido. {nl}Lánzalo a los monstruos cercanos y tráeme el ácido que obtengas.
QUEST_LV_0200_20150714_007558	Hace mucho tiempo, este lugar era el campo de entrenamiento para aquellos que querían convertirse en oráculos.{nl}Aquí se entrenaban y creaban inscripciones con estas predicciones.{nl}
QUEST_LV_0200_20150714_007559	Estoy seguro de que deben ser pronósticos útiles en esta área.{nl}Aunque todos los pronósticos importantes han desaparecido.
QUEST_LV_0200_20150714_007560	Oh, sí{nl}. Hay un diluyente que le pedí al comerciante de objetos en Fedimian. ¿Podrías recogerlo también para mí?
QUEST_LV_0200_20150714_007561	Con el líquido ácido, puedo grabar más profundamente en la lápida.{nl}No olvides visitar también a Fedimian.
QUEST_LV_0200_20150714_007562	Ah, esto es{nl}. Gracias por tu esfuerzo. Ahora lo combinaré con la solución diluyente y lo verteré...
QUEST_LV_0200_20150714_007563	Ajá... ¿qué...?
QUEST_LV_0200_20150714_007564	Para comer un kepa, simplemente hay que hervirlo en agua con sal.
QUEST_LV_0200_20150714_007565	...{nl}¡Este no es un pronóstico útil!{nl}
QUEST_LV_0200_20150714_007566	¿Los kepas son comestibles? ¿Es este un pronóstico útil? Estoy confundido.{nl}
QUEST_LV_0200_20150714_007567	Apenas hay arena adherida a la tableta en Gruitis Hall{nl}. He traído un cepillo, pero no será lo suficientemente efectivo.{nl}
QUEST_LV_0200_20150714_007568	Necesito un cepillo más duro. Lo siento, pero ¿podrías conseguirme un poco de pelo rígido por casualidad?{nl}Espera a que los arqueros Wendigo se desmayen después de golpearlos con este dardo.
QUEST_LV_0200_20150714_007569	Hasta entonces, estaré mirando las otras tabletas.{nl}Muy bien, entonces cuento contigo.
QUEST_LV_0200_20150714_007570	Genial, ambos hemos vuelto justo a tiempo.{nl}Dame eso. Puedo hacer fácilmente un pincel con ello.
QUEST_LV_0200_20150714_007571	No sé si te has dado cuenta, pero estas tabletas registran predicciones del futuro{nl}. Este lugar solía ser un campo de entrenamiento para oráculos hace mucho tiempo.{nl}
QUEST_LV_0200_20150714_007572	Estoy investigando los pronósticos que aún permanecen aquí{nl}. Necesito un asistente. ¿Qué opinas?
QUEST_LV_0200_20150714_007573	Bien. También obtendrás información y experiencia valiosas de esto.{nl}De acuerdo, ¿empezamos?
QUEST_LV_0200_20150714_007574	Este era el campo de entrenamiento de los Oráculos en el pasado.{nl}Estoy buscando pronósticos abandonados aquí.
QUEST_LV_0200_20150714_007575	Al accionar las palancas en el orden correcto, las lápidas podrían reaccionar.
QUEST_LV_0200_20150714_007576	Parece que tienes alguna otra petición para mí{nl}. ¿Cómo puedo ayudarte?
QUEST_LV_0200_20150714_007577	Eitbaras... él...{nl}
QUEST_LV_0200_20150714_007578	Gracias por contarme esta preciosa historia{nl}. Sin embargo, aún no podemos revelarle lo que sabemos sobre ella.{nl}
QUEST_LV_0200_20150714_007579	Pero, a cambio, te daré una copia de los escritos de la lápida{nl}. Creo que algún día podrás conocerlo...
QUEST_LV_0200_20150714_007580	Los discos de Eitbaras
QUEST_LV_0200_20150714_007581	Dejo este registro cuando todavía soy Eitbaras.{nl}
QUEST_LV_0200_20150714_007582	{nl}Los admiro profundamente.{nl}Una humilde hada como yo no puede compararse con ellos...{nl}{nl}
QUEST_LV_0200_20150714_007583	Todavía recuerdo una época en la que eran pacíficos{nl}. Pero esos días ya pasaron.{nl}
QUEST_LV_0200_20150714_007584	Esos mismos seres ahora albergan fuertes ambiciones y una guerra sin fin a la vista...{nl}Ni siquiera un hada como yo podría fingir no ver esto.{nl}{nl}
QUEST_LV_0200_20150714_007585	A medida que la discordia de estos grandes seres comenzaba a envolver al mundo, yo también sentí curiosidad por saber por qué entraban en conflicto entre sí{nl}. Quizás ahora sea el momento en que los humanos puedan comenzar a vivir vidas independientes.
QUEST_LV_0200_20150714_007586	Ausrine se abstuvo de responder a mis preguntas sobre el conflicto{nl}. En cambio, me pidió que rezara por la buena suerte de los humanos que se refugiaban en sus hogares.{nl}{nl}
QUEST_LV_0200_20150714_007587	Giltine tampoco dio una respuesta{nl}. Como de costumbre, no apoyó el papel que Ausrine me sugirió.{nl}{nl}
QUEST_LV_0200_20150714_007588	Pero la suerte tiene su fortuna y su desgracia, y mi misión es gestionar ambas{nl}. Me tomo esas palabras muy en serio y las uso como principio rector en mi trabajo.{nl}{nl}
QUEST_LV_0200_20150714_007589	Desde entonces, he dedicado incontables horas a desempeñar mi nuevo rol{nl}. Sin embargo, mis deberes no dieron respuesta a mis preguntas.
QUEST_LV_0200_20150714_007590	Por eso fui a ver a Giltine.{nl}Después de escuchar mis repetitivas preguntas, finalmente abrió la boca tras un largo silencio.{nl}{nl}
QUEST_LV_0200_20150714_007591	No te voy a dar la respuesta{nl}. Pero puedo darte el poder.{nl}
QUEST_LV_0200_20150714_007592	El poder que puede llevarte a la respuesta que buscas.{nl}Aunque nunca obtengas la respuesta, estarás satisfecho con tus nuevos cambios.
QUEST_LV_0200_20150714_007593	Me fui inmediatamente sin decir nada{nl}. Pero pronto... al darme cuenta de que estaba tan cerca de conseguir algo... me encontré sollozando... y comprendí lo que realmente quería.{nl}{nl}{nl}
QUEST_LV_0200_20150714_007594	Mañana, cuando se ponga el sol, volveré con Giltine y le comunicaré mi decisión.
QUEST_LV_0200_20150714_007595	El arqueólogo Justas
QUEST_LV_0200_20150714_007596	Soy muy afortunada. Las diosas me ayudaron también esta vez.
QUEST_LV_0200_20150714_007597	Ah, soy Justas{nl}. Estoy excavando los registros de Demetrio, el historiador de la antigüedad. ¿Qué te trae por aquí?
QUEST_LV_0200_20150714_007598	¿Es así... Revelador...? Entonces te gustaría mi investigación.{nl}En realidad necesitaba a alguien que fuera mi guardaespaldas y asistente. ¿Te interesa?
QUEST_LV_0200_20150714_007599	Este lugar son las ruinas antes de la construcción del reino{nl}. Pero no me interesa mucho.{nl}
QUEST_LV_0200_20150714_007600	Lo que realmente quiero son los registros de Demetrio{nl}. Es único que esté registrado en una placa de metal..{nl}. Parece contener una historia asombrosa.
QUEST_LV_0200_20150714_007601	Tal vez podríamos averiguar de dónde venimos.{nl}Entonces también podríamos averiguar qué nos sucedería.
QUEST_LV_0200_20150714_007602	Bien{nl}. Bien. Te asignaré la tarea de obtener los fragmentos de hueso del hechicero de maldiciones de Hallowventer. Son los mejores materiales para usar cuando hagas un agente antioxidante.
QUEST_LV_0200_20150714_007603	Es una gran suerte tener una buena asistente.{nl}Las diosas también me ayudaron en esto.
QUEST_LV_0200_20150714_007604	Hay un dicho que dice que los genios son raros{nl}. ¿Cómo deberían actuar las generaciones futuras si la placa de metal se oxida? De todos modos, el trabajo se está haciendo rápido gracias a ti, así que me siento feliz.
QUEST_LV_0200_20150714_007605	Quiero pedirte que traigas la placa de metal a Ramive Hills{nl}. Hay muchas placas que no pude traer debido a los monstruos. ¿Puedes hacerlo, verdad?
QUEST_LV_0200_20150714_007606	Este lugar está demasiado aislado, por lo que los monstruos entran corriendo. {nl}Ten cuidado todo el tiempo.
QUEST_LV_0200_20150714_007607	¡Bien! Pero el estado es muy malo, así que tardará mucho tiempo...{nl}
QUEST_LV_0200_20150714_007608	¡Qué vista, ¿no crees?! Aunque aquí se esconden cosas aún más grandiosas, como los registros del historiador Demetrio.{nl}{nl}
QUEST_LV_0200_20150714_007609	Estoy buscando los registros de Demetrio que aún no han sido descubiertos.{nl}Los monstruos son peligrosos, pero tengo un buen presentimiento.
QUEST_LV_0200_20150714_007610	Alruida está cerca del Apsba Hall{nl}. Hemos estado trabajando juntos durante mucho tiempo, así que aunque estemos lejos, nos conocemos bien.
QUEST_LV_0200_20150714_007611	¿No es genial saber que humanos, diosas y demonios pudieron haber vivido juntos durante mucho tiempo? Pero, entonces, ¿cómo es que no quedan registros?{nl}
QUEST_LV_0200_20150714_007612	Eso es tan impactante{nl}. Un gran erudito como Demetrio no podría haber registrado mentiras.
QUEST_LV_0200_20150714_007613	Como no lo hemos encontrado todo, no podemos decirlo con seguridad, pero... creo que se trata de dónde vienen los humanos.{nl}
QUEST_LV_0200_20150714_007614	Arqueólogo Alruida
QUEST_LV_0200_20150714_007615	¿También te interesa el historiador Demetrio? ¿O eres simplemente un viajero?{nl}
QUEST_LV_0200_20150714_007616	Hubo un progreso en la investigación gracias a ti{nl}. Ahora debemos averiguar si sus registros son ficticios o reales.
QUEST_LV_0200_20150714_007617	Si sus récords son reales, sorprenderán a mucha gente{nl}. Pero, personalmente, no quiero creerlo.
QUEST_LV_0200_20150714_007618	Estoy tras la placa de metal grabada con los registros de Demetrio.{nl}Los monstruos me interrumpen constantemente, pero hemos obtenido algunos resultados.
QUEST_LV_0200_20150714_007619	Ja ja...
QUEST_LV_0200_20150714_007620	Estoy buscando a los espíritus desaparecidos.{nl}Los espíritus que se han desviado de su camino habitual.{nl}
QUEST_LV_0200_20150714_007621	Después de Medzio Diena, están sucediendo cosas aterradoras.{nl}La razón por la que los espíritus se desorientan está relacionada con ello.
QUEST_LV_0200_20150714_007622	Los espíritus no me dicen nada{nl}. ¿Has oído alguna historia sobre ellos?
QUEST_LV_0200_20150714_007623	Lo único que pude hacer fue deprimirme durante cientos de años.{nl}Quiero desaparecer si puedo.
QUEST_LV_0200_20150714_007624	¿Qué puedo hacer después de perder al maestro y el cuerpo?{nl}Además de simplemente observar a los demonios...
QUEST_LV_0200_20150714_007625	No puedo ni ir al lado de las diosas ni ser eliminado.{nl}Por lo que... estoy haciendo... tal...
QUEST_LV_0200_20150714_007626	Torre de piedra derrumbada
QUEST_LV_0200_20150714_007627	Alguien está provocando el derrumbe de la Torre de Piedra. ¿Quieres ir a la Torre de Piedra?
QUEST_LV_0200_20150714_007628	Dejo este registro cuando aún soy Eitbaras.{nl}-{nl}Los admiro profundamente.{nl}Una humilde hada como yo no puede compararse con ellos...{nl}{nl}
QUEST_LV_0200_20150714_007629	Todavía recuerdo una época en que eran pacíficos{nl}. Pero esos días quedaron atrás{nl}. Esos mismos seres ahora albergan grandes ambiciones y una guerra sin fin a la vista..{nl}. Ni siquiera un hada como yo podría fingir que no lo veía.{nl}{nl}
QUEST_LV_0200_20150714_007630	A medida que la discordia de estos grandes seres comenzaba a envolver el mundo, {nl}yo también sentí curiosidad por saber por qué entraban en conflicto entre sí.{nl}Quizás ahora sea el momento en que los humanos puedan comenzar a vivir vidas independientes.{nl}{nl}
QUEST_LV_0200_20150714_007631	Desde entonces, he dedicado incontables horas a desempeñar mi nuevo rol{nl}. Sin embargo, mis funciones no dieron respuesta a mis preguntas.{nl}{nl}
QUEST_LV_0200_20150714_007632	No te voy a dar la respuesta{nl}. Pero puedo darte el poder{nl}. El poder que puede llevarte a la respuesta que buscas{nl}. Incluso si nunca obtienes la respuesta, estarás satisfecho con tus nuevos cambios.
QUEST_LV_0200_20150714_007633	Me fui inmediatamente sin decir nada{nl}. Pero pronto... al darme cuenta de que estaba tan cerca de conseguir algo... me encontré sollozando... y comprendí lo que realmente quería.{nl}
QUEST_LV_0200_20150714_007634	Cuando se ponga el sol mañana, volveré con Giltine y le comunicaré mi decisión.{nl}
QUEST_LV_0200_20150714_007635	¿Un método para restaurar una lápida destruida en las ruinas del templo de Namu? Como vienes a mi tienda a menudo, puedo ayudarte con eso.{nl}
